Id,MSZoning,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,remodel,pud,TotalPorchSF,NeighborhoodCode
16,1,6120,0,0,0,2,0,8,0,0,0,3,7,8,1929,2001,0,0,2,5,1,0.0,1,0,2,1,0,0,2,0,0,0,832,832,0,0,0,2,854,0,0,854,0,0,1,0,2,1,1,5,0,0,0,1,15,1,2,576,0,0,0,48,112,0,0,0,0,0,7,2007,0,0,7.730625600345834,1,0,112,1
17,0,11241,0,1,0,3,0,11,0,0,0,1,6,7,1970,1970,0,0,2,5,0,180.0,1,0,1,1,0,0,1,578,0,0,426,1004,0,0,0,0,1004,0,0,1004,1,0,1,0,2,1,1,5,0,1,1,0,16,2,2,480,0,0,0,0,0,0,0,0,0,700,3,2010,0,0,7.779003954064665,0,0,0,1
18,0,10791,0,0,0,0,0,9,0,0,2,1,4,5,1967,1967,0,0,1,1,1,0.0,1,0,4,3,2,4,5,0,2,0,0,0,0,2,0,0,1296,0,0,1296,0,0,2,0,2,2,1,6,0,0,0,3,17,1,2,516,0,0,0,0,0,0,0,0,0,500,10,2006,0,0,7.574659105418827,0,0,0,1
19,0,13695,0,0,0,0,0,12,4,0,0,1,5,5,2004,2004,0,0,0,0,1,0.0,1,0,0,1,0,0,0,646,0,0,468,1114,0,0,0,0,1114,0,0,1114,1,0,1,1,3,1,0,6,0,0,0,1,6,1,2,576,0,0,0,0,102,0,0,0,0,0,6,2008,0,0,7.804758181148123,0,0,102,2
20,0,7560,0,0,0,0,0,11,0,0,0,1,5,6,1958,1965,1,0,4,4,1,0.0,1,0,1,1,0,0,6,504,0,0,525,1029,0,2,0,0,1339,0,0,1339,0,0,1,0,3,1,1,6,1,0,0,0,18,1,1,294,0,0,0,0,0,0,0,0,0,0,5,2009,2,1,7.751316069131163,1,0,0,1
21,0,14215,0,1,0,2,0,10,0,0,0,0,8,5,2005,2006,0,0,0,0,0,380.0,0,0,0,2,0,3,2,0,0,0,1158,1158,0,0,0,0,1158,1218,0,2376,0,0,3,1,4,1,0,9,0,1,2,2,11,0,3,853,0,0,0,240,154,0,0,0,0,0,11,2006,1,2,8.080154051548755,1,0,154,3
22,1,7449,0,0,1,0,0,13,0,0,0,3,7,7,1930,1950,0,0,2,5,1,0.0,1,0,0,1,0,0,2,0,0,0,637,637,0,0,0,1,1108,0,0,1108,0,0,1,0,3,1,0,6,0,1,2,0,19,1,1,280,0,0,1,0,0,205,0,0,0,0,6,2007,0,0,7.75246427119114,1,0,205,1
23,0,9742,0,0,0,0,0,0,0,0,0,1,8,5,2002,2002,1,0,0,0,0,281.0,0,0,0,0,0,0,2,0,0,0,1777,1777,0,0,0,0,1795,0,0,1795,0,0,2,0,3,1,0,7,0,1,2,0,20,0,2,534,0,0,0,171,159,0,0,0,0,0,9,2008,0,0,7.9486915638886595,0,0,159,2
24,1,4224,0,0,0,0,0,14,0,0,3,1,5,7,1976,1976,0,0,6,6,1,0.0,1,0,0,0,0,0,0,840,0,0,200,1040,0,2,0,0,1060,0,0,1060,1,0,1,0,3,1,1,6,0,1,1,0,1,1,2,572,0,0,0,100,110,0,0,0,0,0,6,2007,0,0,7.724187220106891,0,1,110,1
25,0,8246,0,1,0,0,0,9,0,0,0,1,5,8,1968,2001,0,0,7,4,1,0.0,1,1,1,1,0,2,3,188,3,668,204,1060,0,0,0,0,1060,0,0,1060,1,0,1,0,3,1,0,6,0,1,1,0,21,1,1,270,0,0,0,406,90,0,0,0,0,0,5,2010,0,0,7.792106341192438,1,0,90,1
26,0,14230,0,0,0,2,0,10,0,0,0,1,8,5,2007,2007,0,0,0,0,2,640.0,0,0,0,0,0,0,2,0,0,0,1566,1566,0,0,0,0,1600,0,0,1600,0,0,2,0,3,1,0,7,0,1,2,0,22,0,3,890,0,0,0,0,56,0,0,0,0,0,7,2009,0,0,7.99012879984245,0,0,56,3
27,0,7200,0,0,0,2,0,11,0,0,0,1,5,7,1951,2000,0,0,2,5,1,0.0,1,0,1,1,0,2,4,234,4,486,180,900,0,2,0,0,900,0,0,900,0,1,1,0,3,1,0,5,0,0,0,1,11,1,2,576,0,0,0,222,32,0,0,0,0,0,5,2010,0,0,7.739040499555629,1,0,32,1
28,0,11478,0,0,0,0,0,10,0,0,0,1,8,5,2007,2008,0,0,0,0,2,200.0,0,0,0,2,0,0,0,1218,0,0,486,1704,0,0,0,0,1704,0,0,1704,1,0,2,0,3,1,0,7,0,1,2,0,23,0,3,772,0,0,0,0,50,0,0,0,0,0,5,2010,0,0,8.057215833436564,1,0,50,3
29,0,16321,0,1,0,3,0,11,0,0,0,1,5,6,1957,1997,0,0,1,1,1,0.0,1,0,1,1,0,1,4,1277,0,0,207,1484,0,2,0,0,1600,0,0,1600,1,0,1,0,2,1,1,6,0,2,2,0,24,0,1,319,0,0,0,288,258,0,0,0,0,0,12,2006,0,0,7.90896733037275,1,0,258,1
30,1,6324,0,1,0,0,0,8,1,2,0,1,4,6,1927,1950,0,0,1,1,1,0.0,1,0,2,1,0,0,2,0,0,0,520,520,0,3,1,0,520,0,0,520,0,0,1,0,1,1,3,4,0,0,0,1,25,1,1,240,1,0,0,49,0,87,0,0,0,0,5,2008,0,0,7.460636563996067,1,0,87,1
31,2,8500,0,0,0,0,0,13,1,0,0,0,4,4,1920,1950,2,0,4,7,1,0.0,1,2,2,1,0,0,2,0,0,0,649,649,0,2,1,0,649,668,0,1317,0,0,1,0,3,1,1,6,0,0,0,1,25,1,1,250,0,1,1,0,54,172,0,0,0,0,7,2008,0,0,7.228750687867283,1,0,226,1
32,0,8544,0,1,0,3,0,9,0,0,0,1,5,6,1966,2006,0,0,3,3,1,0.0,1,0,1,1,0,0,2,0,0,0,1228,1228,0,1,0,0,1228,0,0,1228,0,0,1,1,3,1,0,6,0,0,0,0,26,1,1,271,0,0,0,0,65,0,0,0,0,0,6,2008,0,0,7.779936438064981,1,0,65,1
33,0,11049,0,0,0,2,0,0,0,0,0,1,8,5,2007,2007,0,0,0,0,1,0.0,0,0,0,2,0,3,2,0,0,0,1234,1234,0,0,0,0,1234,0,0,1234,0,0,2,0,3,1,0,7,0,0,0,0,22,0,2,484,0,0,0,0,30,0,0,0,0,0,1,2008,0,0,7.853365794060801,0,0,30,2
34,0,10552,0,1,0,0,0,11,0,0,0,1,5,5,1959,1959,1,0,4,7,1,0.0,1,0,1,1,0,0,3,1018,0,0,380,1398,0,1,0,0,1700,0,0,1700,0,1,1,1,4,1,0,6,0,1,2,0,27,0,2,447,0,0,0,0,38,0,0,0,0,0,4,2010,0,0,7.820579278150487,0,0,38,1
35,0,7313,0,0,0,0,0,10,0,0,3,1,9,5,2005,2005,1,0,1,1,0,246.0,2,0,0,2,0,0,0,1153,0,0,408,1561,0,0,0,0,1561,0,0,1561,1,0,2,0,2,1,2,6,0,1,2,0,11,2,2,556,0,0,0,203,47,0,0,0,0,0,8,2007,0,0,8.020324345047909,0,1,47,3
36,0,13418,0,0,0,0,0,10,0,0,0,0,8,5,2004,2005,0,0,0,0,2,132.0,0,0,0,2,0,3,2,0,0,0,1117,1117,0,0,0,0,1132,1320,0,2452,0,0,3,1,4,1,0,9,0,1,2,2,6,2,3,691,0,0,0,113,32,0,0,0,0,0,9,2006,0,0,8.060882037273752,1,0,32,3
37,0,10859,0,0,0,2,0,0,0,0,0,1,5,5,1994,1995,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,0,0,1097,1097,0,0,0,0,1097,0,0,1097,0,0,1,1,3,1,1,6,0,0,0,0,28,1,2,672,0,0,0,392,64,0,0,0,0,0,6,2009,0,0,7.768176262306444,1,0,64,2
38,0,8532,0,0,0,0,0,11,0,0,0,1,5,6,1954,1990,1,0,2,5,0,650.0,1,0,1,1,0,0,3,1213,0,0,84,1297,0,1,0,0,1297,0,0,1297,0,1,1,0,3,1,1,5,0,1,1,0,29,2,2,498,0,0,0,0,0,0,0,0,0,0,10,2009,0,0,7.789522884981542,1,0,0,1
39,0,7922,0,0,0,0,0,11,0,0,0,1,5,7,1953,2007,0,0,0,0,1,0.0,1,1,1,1,0,0,0,731,0,0,326,1057,0,2,0,0,1057,0,0,1057,1,0,1,0,3,1,0,5,0,0,0,1,30,1,1,246,0,0,0,0,52,0,0,0,0,0,1,2010,0,1,7.653237820181018,1,0,52,1
40,0,6040,0,0,0,0,0,15,0,0,2,1,4,5,1955,1955,0,0,8,4,1,0.0,1,0,0,3,2,4,5,0,2,0,0,0,0,2,1,3,1152,0,0,1152,0,0,2,0,2,2,3,6,0,0,0,4,31,3,0,0,3,2,1,0,0,0,0,0,0,0,6,2008,0,3,7.536045648019811,0,0,0,1
41,0,8658,0,0,0,0,0,11,0,0,0,1,6,5,1965,1965,0,0,2,5,0,101.0,1,0,1,1,0,0,3,643,0,0,445,1088,0,0,0,0,1324,0,0,1324,0,0,2,0,3,1,1,6,0,1,1,0,10,0,2,440,0,0,0,0,138,0,0,0,0,0,12,2006,0,1,7.807237080298769,0,0,138,1
42,0,16905,0,0,0,0,0,16,0,0,0,1,5,6,1959,1959,0,0,0,0,1,0.0,1,1,1,1,0,1,4,967,0,0,383,1350,0,1,0,0,1328,0,0,1328,0,1,1,1,2,1,1,5,0,2,2,0,27,0,1,308,0,0,2,0,104,0,0,0,0,0,7,2007,0,0,7.8311450364685955,0,0,104,2
43,0,9180,0,1,0,3,0,12,0,0,0,4,5,7,1983,1983,0,0,3,3,1,0.0,1,0,1,0,0,3,1,747,5,93,0,840,0,1,0,0,884,0,0,884,1,0,1,0,2,1,0,5,0,0,0,0,32,0,2,504,0,3,0,240,0,0,0,0,0,0,12,2007,0,0,7.7654190238326,0,0,0,2
44,0,9200,0,1,0,3,0,0,0,0,0,1,5,6,1975,1980,1,0,0,0,1,0.0,1,0,1,0,0,3,6,280,1,491,167,938,0,2,0,0,938,0,0,938,1,0,1,0,3,1,1,5,0,0,0,1,33,1,1,308,0,0,0,145,0,0,0,0,0,0,7,2008,0,0,7.72526803778696,1,0,0,2
45,0,7945,0,0,0,0,0,11,0,0,0,1,5,6,1959,1959,0,0,4,5,1,0.0,1,0,1,1,0,0,1,179,1,506,465,1150,0,0,0,2,1150,0,0,1150,1,0,1,0,3,1,1,6,0,0,0,0,27,0,1,300,0,0,0,0,0,0,0,0,0,0,5,2006,0,0,7.757021844718299,0,0,0,1
46,0,7658,0,0,0,0,0,10,0,0,3,1,9,5,2005,2005,1,0,1,1,0,412.0,2,0,0,2,0,0,0,456,0,0,1296,1752,0,0,0,0,1752,0,0,1752,1,0,2,0,2,1,2,6,0,1,2,0,11,0,2,576,0,0,0,196,82,0,0,0,0,0,2,2010,0,0,8.073886977868366,0,1,82,3
47,0,12822,0,1,0,3,0,4,0,0,0,2,7,5,2003,2003,0,0,0,0,1,0.0,0,0,0,2,0,0,0,1351,0,0,83,1434,0,0,0,0,1518,631,0,2149,1,0,1,1,1,1,0,6,0,1,4,0,0,0,2,670,0,0,0,168,43,0,0,198,0,0,8,2009,0,1,7.9645200686709705,0,0,241,1
48,3,11096,0,0,0,0,0,5,0,0,0,1,8,5,2006,2006,0,0,0,0,1,0.0,0,0,0,0,0,3,0,24,0,0,1632,1656,0,0,0,0,1656,0,0,1656,0,0,2,0,3,1,0,7,0,0,0,0,13,0,3,826,0,0,0,0,146,0,0,0,0,0,7,2007,0,0,7.980175892096388,0,0,146,2
49,1,4456,0,0,0,0,0,7,0,0,1,0,4,5,1920,2008,0,0,1,1,1,0.0,1,0,2,1,0,0,2,0,0,0,736,736,0,1,0,0,736,716,0,1452,0,0,2,0,2,3,1,8,0,0,0,4,31,3,0,0,3,2,1,0,0,102,0,0,0,0,6,2009,1,2,7.667893365334923,1,0,102,1
50,0,7742,0,0,0,0,0,9,0,0,0,1,5,7,1966,1966,0,0,3,3,1,0.0,1,0,1,1,0,0,4,763,0,0,192,955,0,0,0,0,955,0,0,955,1,0,1,0,3,1,1,6,0,0,0,0,26,1,1,386,0,0,0,0,0,0,0,0,0,0,1,2007,0,0,7.7151093208477395,0,0,0,1
51,0,13869,0,2,0,2,0,17,0,0,0,0,6,6,1997,1997,0,0,0,0,1,0.0,1,0,0,0,0,3,0,182,0,0,612,794,0,1,0,0,794,676,0,1470,0,1,2,0,3,1,1,6,0,0,0,0,34,2,2,388,0,0,0,0,75,0,0,0,0,0,7,2007,0,0,7.846995878276036,0,0,75,2
52,1,6240,0,0,0,0,0,8,0,0,0,2,6,6,1934,1950,0,0,2,5,1,0.0,1,0,0,1,0,0,2,0,0,0,816,816,0,2,0,0,816,0,360,1176,0,0,1,0,3,1,1,6,0,1,2,1,35,1,2,528,0,0,0,112,0,0,0,0,0,400,9,2006,0,0,7.6732456108473,1,0,0,1
53,1,8472,1,2,1,2,1,13,5,0,2,1,5,5,1963,1963,0,0,2,5,1,0.0,3,0,1,0,0,1,6,104,6,712,0,816,0,2,1,0,816,0,0,816,1,0,1,0,2,1,1,5,0,0,0,3,36,1,2,516,0,0,0,106,0,0,0,0,0,0,5,2010,0,0,7.656955391346221,0,0,0,1
54,0,50271,0,1,2,0,0,1,0,0,0,1,9,5,1981,1987,0,1,5,2,1,0.0,0,0,1,2,0,1,0,1810,0,0,32,1842,0,1,0,0,1842,0,0,1842,2,0,0,1,0,1,0,5,0,1,2,0,37,2,3,894,0,0,0,857,72,0,0,0,0,0,11,2006,0,0,8.142786748814142,1,0,72,2
55,0,7134,0,0,1,0,1,11,0,0,0,5,5,5,1955,1955,0,0,1,1,1,0.0,1,0,1,1,0,0,1,384,0,0,0,384,0,2,0,0,1360,0,0,1360,0,0,1,0,3,1,1,6,1,1,1,1,12,1,2,572,0,0,0,0,50,0,0,0,0,0,2,2007,0,0,7.724496345028302,0,0,50,1
56,0,10175,0,1,0,0,0,11,0,0,0,1,6,5,1964,1964,0,0,3,4,0,272.0,1,0,1,1,0,0,4,490,0,0,935,1425,0,1,0,0,1425,0,0,1425,0,0,2,0,3,1,1,7,0,1,2,0,38,0,2,576,0,0,0,0,0,0,407,0,0,0,7,2008,0,0,7.854669891932587,0,0,407,1
57,3,2645,0,0,0,0,0,5,0,0,4,0,8,5,1999,2000,0,0,1,1,0,456.0,0,0,0,0,0,0,0,649,0,0,321,970,0,0,0,0,983,756,0,1739,1,0,2,1,3,1,0,7,0,0,0,0,39,2,2,480,0,0,0,115,0,0,0,0,0,0,8,2009,0,1,7.836885473721466,1,1,0,2
58,0,11645,0,1,0,2,0,0,0,0,0,0,7,5,2004,2004,0,0,0,0,1,0.0,0,0,0,0,0,0,2,0,0,0,860,860,0,0,0,0,860,860,0,1720,0,0,2,1,3,1,0,7,0,0,0,0,6,0,2,565,0,0,0,0,70,0,0,0,0,0,8,2006,0,0,7.887821087497188,0,0,70,2
59,0,13682,0,2,3,3,0,18,0,0,0,0,10,5,2006,2006,1,0,0,0,0,1031.0,2,0,0,2,0,1,2,0,0,0,1410,1410,0,0,0,0,1426,1519,0,2945,0,0,3,1,3,1,0,10,0,1,2,2,13,2,3,641,0,0,0,192,0,37,0,0,0,0,10,2006,1,2,8.190830411326152,0,0,37,3
60,0,7200,0,0,1,0,0,0,0,0,0,1,5,7,1972,1972,0,0,3,3,1,0.0,1,0,1,1,0,3,1,632,0,0,148,780,0,0,0,0,780,0,0,780,0,0,1,0,2,1,1,4,0,0,0,1,7,1,1,352,0,0,0,196,0,0,0,0,0,0,1,2008,0,0,7.708395119502558,0,0,0,2
61,0,13072,0,0,0,0,0,12,4,0,0,1,6,5,2004,2004,0,0,0,0,1,0.0,1,0,0,0,0,0,1,941,0,0,217,1158,0,0,0,0,1158,0,0,1158,1,0,1,1,3,1,0,5,0,0,0,1,13,1,2,576,0,0,0,0,50,0,0,0,0,0,5,2006,1,2,7.802262426647062,0,0,50,2
62,1,7200,0,0,0,0,0,13,0,0,0,6,5,7,1920,1996,0,0,1,1,1,0.0,1,0,2,1,3,0,2,0,0,0,530,530,0,2,1,0,581,530,0,1111,0,0,1,0,3,1,3,6,0,0,0,1,40,1,1,288,0,0,1,0,0,144,0,0,0,0,3,2007,0,0,7.622105061145031,1,0,144,1
63,0,6442,0,1,0,0,0,10,0,0,3,1,8,5,2006,2006,0,0,0,0,2,178.0,0,0,0,0,1,2,0,24,0,0,1346,1370,0,0,0,0,1370,0,0,1370,0,0,2,0,2,1,0,6,0,1,2,0,13,0,2,484,0,0,0,120,49,0,0,0,0,0,10,2007,0,0,7.899508965109616,0,1,49,3
64,1,10300,0,1,1,0,0,7,6,3,0,0,7,6,1921,1950,0,0,9,8,1,0.0,1,0,2,1,0,0,2,0,0,0,576,576,0,1,0,0,902,808,0,1710,0,0,2,0,3,1,1,9,0,0,0,1,41,1,2,480,0,0,0,12,11,64,0,0,0,0,4,2010,0,0,7.754179935083592,1,0,75,1
65,0,9375,0,0,0,0,0,0,0,0,0,0,7,5,1997,1998,0,0,0,0,0,573.0,1,0,0,0,0,0,0,739,0,0,318,1057,0,0,0,0,1057,977,0,2034,1,0,2,1,3,1,0,8,0,0,0,0,3,0,2,645,0,0,0,576,36,0,0,0,0,0,2,2009,0,0,7.930700375736146,1,0,36,2
66,0,9591,0,0,0,0,0,10,0,0,0,0,8,5,2004,2005,0,0,0,0,0,344.0,0,0,0,2,0,3,2,0,0,0,1143,1143,0,0,0,0,1143,1330,0,2473,0,0,2,1,4,1,0,9,0,1,2,2,6,0,3,852,0,0,0,192,151,0,0,0,0,0,10,2007,0,0,8.070474108240383,1,0,151,3
67,0,19900,0,0,0,0,0,11,7,0,0,1,7,5,1970,1989,0,0,7,4,0,287.0,1,0,1,0,0,1,0,912,0,0,1035,1947,0,2,0,0,2207,0,0,2207,1,0,2,0,3,1,1,7,1,1,2,0,16,0,2,576,0,0,0,301,0,0,0,0,0,0,7,2010,0,0,7.853583468851493,1,0,0,1
68,0,10665,0,1,0,0,0,0,0,0,0,1,7,5,2003,2003,0,0,0,0,0,167.0,0,0,0,0,0,3,0,1013,0,0,440,1453,0,0,0,0,1479,0,0,1479,1,0,2,0,3,1,0,7,0,0,0,0,0,0,2,558,0,0,0,144,29,0,0,0,0,0,6,2007,0,0,7.9419441634538686,0,0,29,2
69,1,4608,0,0,0,2,0,7,3,0,0,1,4,6,1945,1950,0,0,1,1,1,0.0,1,1,1,1,0,0,2,0,0,0,747,747,0,2,0,0,747,0,0,747,0,0,1,0,2,1,1,4,0,0,0,0,42,1,1,220,0,0,0,0,0,0,0,0,0,0,6,2010,0,0,7.525756465439121,1,0,0,1
70,0,15593,0,0,0,2,0,19,0,0,0,2,7,4,1953,1953,0,0,4,9,1,0.0,0,0,1,1,0,0,4,603,0,0,701,1304,1,2,0,0,1304,983,0,2287,0,0,2,0,3,1,1,7,0,1,1,0,30,2,2,667,0,0,0,0,21,114,0,0,0,0,7,2006,0,0,7.94023720086269,0,0,135,2
71,0,13651,0,1,0,0,0,11,0,0,0,1,7,6,1973,1973,0,0,7,4,0,1115.0,1,1,1,0,0,1,1,1880,0,0,343,2223,0,0,0,0,2223,0,0,2223,1,0,2,0,3,1,1,8,0,2,2,0,7,2,2,516,0,0,0,300,0,0,0,0,0,0,2,2007,0,0,7.971349359771916,0,0,0,1
72,0,7599,0,0,0,2,0,4,0,0,0,1,4,6,1982,2006,0,0,3,4,1,0.0,1,0,1,1,0,0,1,565,0,0,280,845,0,2,0,0,845,0,0,845,1,0,1,0,2,1,1,4,0,0,0,1,43,1,2,360,0,0,0,0,0,0,0,0,0,0,6,2007,0,0,7.72294815120879,1,0,0,1
73,0,10141,0,1,0,2,0,17,0,0,0,0,7,5,1998,1998,0,0,0,0,0,40.0,1,0,0,0,0,0,2,0,0,0,832,832,0,1,0,0,885,833,0,1718,0,0,2,1,3,1,1,7,0,1,1,0,3,2,2,427,0,0,0,0,94,0,0,291,0,0,12,2009,0,0,7.864304194536733,0,0,385,2
74,0,10200,0,0,0,0,0,11,0,0,0,1,5,7,1954,2003,0,0,2,5,0,104.0,1,0,1,1,0,0,1,320,1,362,404,1086,0,1,0,0,1086,0,0,1086,1,0,1,0,3,1,1,6,0,0,0,0,44,1,2,490,0,0,0,0,0,0,0,0,0,0,5,2010,0,0,7.7679014618542475,1,0,0,1
75,1,5790,0,0,0,2,0,7,0,0,0,0,3,6,1915,1950,2,0,0,0,1,0.0,0,1,1,4,0,0,2,0,0,0,840,840,0,1,1,0,840,765,0,1605,0,0,2,0,3,2,1,8,0,0,0,1,45,1,1,379,0,0,0,0,0,202,0,0,0,0,5,2010,0,0,7.647212593904137,1,0,202,1
